LOCATION,TIME,Value
ITA,2020 Q1,15.621339325
ITA,2020 Q1,-1.625558716
ITA,2020 Q1,0.277518884
ITA,2020 Q1,2.670427691
ITA,2020 Q1,2.632432935
AUT,2020 Q1,-2.491500946
AUT,2020 Q1,-11.408046963
AUT,2020 Q1,10.907848609
AUT,2020 Q1,-2.039615914
AUT,2020 Q1,-0.355124374
AUT,2020 Q1,4.180354266
AUT,2020 Q1,3.813261007
IRL,2020 Q1,3.671036615
IRL,2020 Q1,-3.317646663
IRL,2020 Q1,9.468730217
IRL,2020 Q1,-4.680927391
IRL,2020 Q1,10.028382225
IRL,2020 Q1,5.24604534
IRL,2020 Q1,0.945630169
CHE,2020 Q1,-1.525963914
CHE,2020 Q1,-6.155122417
CHE,2020 Q1,6.317282161
CHE,2020 Q1,-0.090024688
CHE,2020 Q1,-0.140820194
CHE,2020 Q1,1.791075012
CHE,2020 Q1,1.669700244
NZL,2020 Q1,-1.273263293
NZL,2020 Q1,-10.269196739
NZL,2020 Q1,13.854537373
NZL,2020 Q1,-0.363241369
NZL,2020 Q1,1.459561288
NZL,2020 Q1,2.425133327
NZL,2020 Q1,-3.677619402
CHL,2020 Q1,2.190149541
CHL,2020 Q1,-12.29393248
CHL,2020 Q1,5.016761185
CHL,2020 Q1,6.08395698
CHL,2020 Q1,3.803467929
CHL,2020 Q1,1.610932645
CHL,2020 Q1,4.871960657
SWE,2020 Q1,-0.827231526
SWE,2020 Q1,-7.870017989
SWE,2020 Q1,6.899812968
SWE,2020 Q1,0.322465464
SWE,2020 Q1,1.2171433
SWE,2020 Q1,0.959411382
SWE,2020 Q1,1.980230971
FRA,2020 Q1,-5.697113611
FRA,2020 Q1,-13.464232562
FRA,2020 Q1,18.5217501
FRA,2020 Q1,-1.053527873
FRA,2020 Q1,0.054859749
FRA,2020 Q1,1.266637042
FRA,2020 Q1,3.011177346
GRC,2020 Q1,-1.584829399
GRC,2020 Q1,-14.152196136
GRC,2020 Q1,5.586256642
GRC,2020 Q1,3.861254091
GRC,2020 Q1,4.198360816
GRC,2020 Q1,2.053339788
GRC,2020 Q1,2.710975458
COL,2020 Q1,-2.466379554
COL,2020 Q1,-14.932039624
COL,2020 Q1,9.516580825
COL,2020 Q1,6.329966787
COL,2020 Q1,3.003081497
COL,2020 Q1,-2.459579295
COL,2020 Q1,5.70893661
LTU,2020 Q1,1.070620588
LTU,2020 Q1,-5.54799942
LTU,2020 Q1,2.785401024
LTU,2020 Q1,1.755551524
LTU,2020 Q1,2.086847237
LTU,2020 Q1,2.018752831
LTU,2020 Q1,-0.027099868
CRI,2020 Q1,-0.915220899
CRI,2020 Q1,-8.199677008
CRI,2020 Q1,1.541966125
CRI,2020 Q1,4.045505405
CRI,2020 Q1,1.095742212
CRI,2020 Q1,1.704595936
